date,temperature,rainfall,humidity
2010-01-01,25.02446185336714,66.54729183296908,67.51115028771461
2010-01-02,23.499810257888665,73.92198417436235,69.94123892982114
2010-01-03,24.527350785485677,66.56354571048774,69.81758999943175
2010-01-04,25.05975858313351,69.01144171416584,69.84097208270934
2010-01-05,25.051514179455257,69.95621324030067,68.05567813721345
2010-01-06,23.344249610469824,68.85304542935404,68.74907969704087
2010-01-07,26.56097295405661,71.81951617471154,69.67710281972299
2010-01-08,28.235868341523005,79.22794941154393,64.52613426732931
2010-01-09,26.08736277413266,66.97566838811251,66.59369640038467
2010-01-10,25.109125238550256,68.026668798914,65.26597956935476
2010-01-11,25.609740762276182,72.09330863088324,65.28142063802241
2010-01-12,25.39095465740852,76.09071191749248,67.91282441874772
2010-01-13,26.439966646320645,67.5913178255339,67.33375722650189
2010-01-14,27.126599297600887,75.79171916680203,68.44741952860056
2010-01-15,25.18864393595377,72.30494726085419,67.42453646641827
2010-01-16,25.551564658608733,69.70480094943976,68.62621935400661
2010-01-17,25.519770578309178,60.34453312889204,72.76831312042773
2010-01-18,27.77678723986681,72.24476614766624,70.83472258004524
2010-01-19,27.477273717308776,70.01599766710333,68.39094412570263
2010-01-20,26.69217777872151,65.29685952938672,69.50786437743008
2010-01-21,26.723489569968876,78.08563687768375,69.48242332370232
2010-01-22,29.083313228697453,72.90776221960012,63.98391885824327
2010-01-23,26.951043293170716,86.67812420444378,67.46344822891403
2010-01-24,26.138179363388048,67.00199190340533,70.34174859802565
2010-01-25,27.843969002740845,65.36950990424502,67.40122616089239
2010-01-26,26.9193445321226,70.07792809339655,68.08470808690879
2010-01-27,27.770161353440844,79.30081281643353,68.54660136307105
2010-01-28,26.81032851365255,65.97894793151214,67.11916358658289
2010-01-29,26.98559104236791,64.39792025420185,69.05253416579859
2010-01-30,28.50738303479582,68.37638401374392,65.09054170537256
2010-01-31,27.723693510607674,64.56457747323262,69.76731494245023
2010-02-01,27.192551725657598,65.64262902273444,66.99796070815779
2010-02-02,26.77417721976415,60.77308057177866,64.1789107941165
2010-02-03,29.168928135426945,73.63124580246438,68.92100588885341
2010-02-04,28.129130683343917,73.17697485308918,64.16603073650506
2010-02-05,27.10146793928634,73.69725359971609,70.16978840169966
2010-02-06,28.118919477259347,77.81653343501101,63.63730214250427
2010-02-07,28.917092501787277,66.46297323641686,66.70684271649854
2010-02-08,28.297454548518388,72.19754004179933,65.69857316310761
2010-02-09,28.074982565819564,64.36527695560787,66.84229998791335
2010-02-10,26.733449285162656,58.93275848997131,65.76741535473364
2010-02-11,28.32533883874754,63.83818992364167,73.08880967498771
2010-02-12,28.288238334645857,70.43421453048354,69.0120309670549
2010-02-13,28.682474129486817,70.22078850841609,65.93448110773248
2010-02-14,29.746132428224502,72.01397424937483,65.00004993130062
2010-02-15,30.059756673528273,69.7941287901833,67.8885947125978
2010-02-16,28.80230692193294,67.62205437724877,68.81589391340597
2010-02-17,28.933791521473484,53.02508159537821,66.96024530031515
2010-02-18,29.828000216571493,69.13176554430248,67.24480099277388
2010-02-19,27.40591661477371,58.919594917428014,67.37646430794123
2010-02-20,29.91008355105224,63.9303805015016,66.52975739056026
2010-02-21,31.38997714261344,58.00474817075981,65.99825637225544
